DAY;DAY_OF_WEEK;AIRLINE;FLIGHT_NUMBER;ORIGIN_AIRPORT;DESTINATION_AIRPORT;SCHEDULED_DEPARTURE;DEPARTURE_TIME;DISTANCE;SCHEDULED_ARRIVAL;ARRIVAL_TIME
1;4;AA;1112;SFO;DFW;30;19;1464;545;532
1;4;DL;1173;LAS;ATL;30;33;1747;711;656
1;4;DL;2336;DEN;ATL;30;24;1199;523;453
1;4;NK;214;LAS;DFW;103;102;1055;530;529
1;4;UA;1607;SEA;DEN;530;529;1024;907;906
1;4;AA;328;DEN;DFW;530;623;641;835;941
1;4;UA;1532;SFO;DEN;531;550;967;857;923
1;4;UA;1167;ORD;DEN;533;540;888;720;723
1;4;DL;1890;DFW;ATL;545;603;731;849;847
1;4;OO;2599;DEN;LAX;545;658;862;715;811
1;4;UA;495;LAX;DEN;550;550;862;915;906
1;4;AA;2410;LAX;DFW;550;600;1235;1050;1052
1;4;WN;526;SFO;DEN;555;553;967;925;923
1;4;UA;1222;MCO;LAX;555;557;2218;836;840
1;4;AA;1094;SEA;DFW;555;555;1660;1150;1206
1;4;WN;597;SFO;ATL;600;554;2139;1340;1324
1;4;UA;1158;SFO;ORD;600;557;1846;1217;1213
1;4;UA;1224;SFO;LAX;600;605;337;728;717
1;4;UA;1735;LAX;ORD;600;607;1744;1210;1154
1;4;AA;72;DFW;MCO;600;606;985;925;928
1;4;AA;1028;DEN;ORD;600;601;888;935;908
1;4;AA;1088;LAS;DFW;600;557;1055;1040;1047
1;4;AA;1515;LAX;ORD;600;557;1744;1205;1139
1;4;AS;477;LAX;SEA;600;555;954;850;841
1;4;AS;683;DEN;SEA;600;549;1024;810;736
1;4;B6;583;JFK;MCO;600;557;944;851;832
1;4;DL;421;JFK;ATL;600;605;760;843;824
1;4;DL;977;ORD;ATL;600;602;606;907;846
1;4;DL;2154;LAX;ATL;600;559;1947;1310;1250
1;4;F9;144;SEA;DEN;600;605;1024;933;933
1;4;OO;6332;DFW;DEN;600;556;641;705;714
1;4;UA;1721;LAX;SFO;603;601;337;730;716
1;4;UA;415;JFK;SFO;605;605;2586;949;945
1;4;AS;320;SEA;SFO;605;602;679;810;807
1;4;AS;602;SEA;LAS;605;602;867;825;825
1;4;B6;1184;MCO;JFK;605;600;944;831;841
1;4;F9;133;DFW;DEN;605;702;641;707;759
1;4;UA;654;ORD;MCO;608;603;1005;951;930
1;4;UA;1725;LAS;SFO;610;606;414;746;726
1;4;AS;454;SEA;LAX;610;611;954;845;841
1;4;B6;24;LAX;JFK;610;620;2475;1424;1413
1;4;NK;562;LAX;LAS;613;608;236;721;712
1;4;DL;1866;SFO;ATL;615;616;2139;1345;1342
1;4;NK;940;DFW;ORD;616;619;802;835;818
1;4;UA;732;SEA;ORD;620;613;1721;1216;1148
1;4;AA;2420;LAX;DFW;620;619;1235;1120;1119
1;4;DL;1518;MCO;ATL;620;613;404;751;742
1;4;WN;871;DEN;ATL;625;625;1199;1120;1101
1;4;B6;23;JFK;LAX;630;627;2475;947;951
1;4;DL;418;SFO;JFK;630;628;2586;1455;1435
1;4;DL;1598;SEA;ATL;630;631;2182;1405;1418
1;4;F9;1246;DEN;DFW;630;634;641;920;937
1;4;AA;1441;JFK;LAS;635;656;2248;925;1010
1;4;AS;662;SEA;DFW;640;633;1660;1222;1232
1;4;VX;922;SFO;LAX;645;638;337;805;749
1;4;AA;1234;LAS;ORD;645;641;1514;1215;1157
1;4;F9;782;LAS;DEN;645;642;628;934;942
1;4;AA;338;LAX;SFO;650;644;337;810;803
1;4;AA;2424;LAX;DFW;650;641;1235;1150;1149
1;4;DL;476;LAX;JFK;650;650;2475;1509;1458
1;4;WN;537;MCO;ATL;655;651;404;830;826
1;4;B6;16;SFO;JFK;655;652;2586;1517;1508
1;4;DL;1818;ATL;MCO;655;654;404;822;815
1;4;B6;15;JFK;SFO;659;659;2586;1043;1019
1;4;VX;399;JFK;LAX;700;655;2475;1025;1027
1;4;VX;897;LAS;SFO;700;659;414;825;819
1;4;UA;1195;MCO;SFO;700;1228;2446;1000;1506
1;4;AA;9;JFK;LAX;700;649;2475;1020;1026
1;4;AA;118;LAX;JFK;700;650;2475;1525;1436
1;4;AA;1258;LAS;DFW;700;656;1055;1145;1139
1;4;AA;1354;DFW;MCO;700;655;985;1030;1019
1;4;AA;1529;MCO;LAX;700;658;2218;935;926
1;4;AA;1507;SEA;DFW;700;656;1660;1250;1314
1;4;AA;1513;DFW;ATL;700;655;731;1005;940
1;4;AS;313;SFO;SEA;700;651;679;900;852
1;4;AS;445;LAX;SEA;700;655;954;950;935
1;4;AS;466;SEA;LAX;700;656;954;945;939
1;4;AS;615;LAS;SEA;700;659;867;934;927
1;4;DL;364;SEA;LAX;700;712;954;933;929
1;4;DL;424;JFK;LAX;700;702;2475;1040;1030
1;4;DL;46;JFK;SFO;700;700;2586;1043;1026
1;4;DL;1795;LAS;JFK;700;654;2248;1445;1410
1;4;AA;2393;JFK;MCO;700;857;944;1005;1202
1;4;F9;676;DEN;MCO;700;802;1546;1225;1323
1;4;F9;681;MCO;DEN;700;658;1546;913;912
1;4;UA;296;ORD;DEN;702;706;888;847;845
1;4;UA;761;ORD;SFO;705;713;1846;945;933
1;4;VX;12;SFO;JFK;705;702;2586;1534;1522
1;4;WN;2041;MCO;LAS;705;659;2039;920;923
1;4;DL;2054;SEA;JFK;705;705;2422;1517;1455
1;4;B6;2084;MCO;JFK;708;706;944;935;939
1;4;AA;1482;SFO;DFW;710;703;1464;1240;1237
1;4;AA;2310;DFW;DEN;710;719;641;815;814
1;4;UA;706;SEA;SFO;715;714;679;934;907
1;4;AA;236;SEA;JFK;715;710;2422;1530;1511
1;4;DL;1553;LAS;ATL;715;712;1747;1400;1342
1;4;NK;867;DFW;LAX;715;712;1235;836;823
1;4;UA;616;SFO;ORD;720;714;1846;1337;1324
1;4;UA;661;ORD;LAX;720;720;1744;950;950
1;4;WN;320;SFO;LAS;720;734;414;850;857
1;4;AA;24;SFO;JFK;720;714;2586;1600;1546
1;4;AA;2426;LAX;DFW;720;717;1235;1220;1206
1;4;AS;222;SEA;SFO;720;728;679;929;955
1;4;UA;649;LAS;DEN;723;716;628;1019;1006
1;4;AS;612;SEA;LAS;725;723;867;946;1000
1;4;NK;731;ORD;LAX;725;719;1744;1002;950
1;4;UA;1746;ATL;SFO;729;741;2139;1004;1013
1;4;B6;683;JFK;MCO;729;725;944;1026;1028
1;4;VX;404;LAX;JFK;730;728;2475;1550;1512
1;4;AA;76;SFO;LAX;730;723;337;855;900
1;4;AA;1499;DFW;LAS;730;1055;1055;825;1155
1;4;DL;369;LAX;ATL;730;726;1947;1442;1423
1;4;F9;1070;ORD;ATL;730;835;606;1020;1121
1;4;OO;6344;DFW;SFO;730;730;1464;939;937
1;4;AA;83;MCO;DFW;735;733;985;935;927
1;4;AA;183;LAS;LAX;735;726;236;850;856
1;4;AS;676;SEA;DEN;735;737;1024;1106;1130
1;4;AA;1532;DEN;DFW;740;740;641;1045;1045
1;4;DL;240;SFO;ATL;740;1031;2139;1511;1801
1;4;F9;137;DEN;SEA;740;736;1024;933;912
1;4;AA;1146;DFW;SEA;745;800;1660;1010;952
1;4;DL;968;SEA;ATL;745;745;2182;1528;1522
1;4;VX;474;LAX;LAS;750;745;236;900;844
1;4;AS;482;SEA;LAX;750;802;954;1036;1025
1;4;OO;5614;LAS;LAX;750;747;236;900;855
1;4;UA;1250;DEN;MCO;755;813;1546;1320;1328
1;4;UA;1753;DEN;SFO;755;810;967;945;936
1;4;AA;23;DFW;SFO;755;841;1464;945;1034
1;4;AA;1661;DFW;MCO;755;754;985;1125;1129
1;4;UA;910;DEN;ORD;758;758;888;1125;1114
1;4;UA;834;LAS;SFO;800;756;414;945;915
1;4;VX;1493;LAS;LAX;800;802;236;910;904
1;4;VX;1930;SFO;LAX;800;759;337;920;914
1;4;UA;1130;LAX;ORD;800;759;1744;1410;1342
1;4;UA;1218;SEA;DEN;800;800;1024;1137;1152
1;4;UA;1610;ORD;MCO;800;814;1005;1142;1145
1;4;AA;15;JFK;SFO;800;755;2586;1140;1228
